      localhos   PRTCC(31DEC06)      20               10-APR-2006   19:29:15               Page    1
3C15AC      .ICL001.   1  Disk= 1    CC table version   2
Title: AIPS CC CLEAN COMPONENTS TABLE
 
Created by      IMAGR on 10-APR-2006 18:37:46
Last written by CCMRG on 10-APR-2006 18:39:45
Ncomps      23    sort on: FLUX     (DELTAY)          (ASCEND)
 
    Comp        Delta X        Delta Y       Flux            Total
       #      Microasec      Microasec        Jy               Jy
 
       1           0.00        3000.00       1.0000000        1.0000000
       2           0.00       -3000.00       1.0000000        2.0000000
       3        -150.00         450.00       0.0026469        0.0109974
       4         750.00       -1800.00       0.0021853        0.0131827
       5         300.00        -600.00       0.0020701        0.0152527
       6         450.00        -900.00       0.0014310        0.0166838
       7        1350.00       -4050.00       0.0010207        0.0177045
       8        -150.00         300.00       0.0009762        0.0186807
       9         900.00       -2100.00       0.0008092        0.0194899
      10        1050.00       -2700.00       0.0006383        0.0201282
      11         150.00        -450.00       0.0006289        0.0207571
      12        -450.00         750.00       0.0004013        0.0211583
      13           0.00           0.00       0.0003871        0.0215454
      14         900.00       -2250.00       0.0003544        0.0218998
      15         600.00       -1350.00       0.0003178        0.0222177
      16        -300.00         600.00       0.0002778        0.0224955
      17         750.00       -1050.00       0.0001941        0.0226896
      18         750.00        -900.00       0.0001836        0.0228732
      19         600.00       -1200.00       0.0001639        0.0230371
      20         600.00        -900.00       0.0001171        0.0231543
      21        -450.00         600.00       0.0000724        0.0232267
      22        -300.00         750.00       0.0000654        0.0232921
      23        -900.00           0.00       0.0000332        0.0233253
