#station_name station_id epoch          x             y             z         vx       vy       vz
Tanegashima     7358 1997/01/01 -3607651.5503  4147873.9561  3223722.8677   0.0000   0.0000   0.0000
Koganei         7308 1997/01/01 -3942020.1228  3368097.5570  3702191.0797  -0.0001   0.0061  -0.0111
Yarragadee      7090 1997/01/01 -2389006.9238  5043329.3395 -3078524.8896  -0.0470   0.0079   0.0488
Mount_Stromlo_2 7825 1997/01/01 -4467064.3092  2683034.8862 -3667007.9248  -0.0351  -0.0013   0.0461
Zimmerwald      7810 1997/01/01  4331283.6759   567549.7428  4633140.2669  -0.0138   0.0185   0.0100
Graz            7839 1997/01/01  4194426.5167  1162694.0327  4647246.6497  -0.0176   0.0181   0.0082
Wettzell        8834 1997/01/01  4075576.8504   931785.4556  4801583.5588  -0.0157   0.0172   0.0087
San_Juan        7406 1997/01/01  1984104.3220 -5068867.1983 -3314482.5237   0.0000   0.0000   0.0000
Riyadh          7832 1997/01/01  3992100.9957  4192172.5015  2670410.6889  -0.0281   0.0128   0.0258
Monument_Peak   7110 1997/01/01 -2386278.2108 -4802354.1447  3444881.5980  -0.0306   0.0255   0.0145
Herstmonceux    7840 1997/01/01  4033463.7122    23662.4784  4924305.1712  -0.0128   0.0180   0.0095
Changchun       7237 1997/01/01 -2674386.7386  3757189.3075  4391508.4012  -0.0218  -0.0083  -0.0092
Matera_MLRO     7941 1997/01/01  4641978.8587  1393067.4785  4133249.4277  -0.0188   0.0191   0.0131
Hartebeesthoek  7501 1997/01/01  5085401.1179  2668330.0746 -2768688.8727  -0.0012   0.0198   0.0159
Potsdam_3       7841 1997/01/01  3800432.2932   881691.9670  5029030.0329  -0.0161   0.0161   0.0077
Simosato        7838 1997/01/01 -3822388.3468  3699363.5675  3507573.1060   0.0027   0.0051  -0.0053
Greenbelt       7105 1997/01/01  1130719.6324 -4831350.5774  3994106.5389  -0.0148  -0.0001   0.0010
San_Fernando    7824 1997/01/01  5105473.9094  -555110.7233  3769892.7442  -0.0025   0.0179   0.0163
McDonald        7080 1997/01/01 -1330021.0667 -5328401.8557  3236480.7817  -0.0125  -0.0001  -0.0065
Beijing         7249 1997/01/01 -2148760.3719  4426759.6707  4044509.7266  -0.0271  -0.0132  -0.0157
Shanghai_2      7821 1997/01/01 -2830744.1715  4676580.3937  3275072.9259  -0.0307  -0.0112  -0.0134
Maidanak_1      1864 1997/01/01  1953285.7944  4588973.8346  3966767.6833  -0.0294   0.0073   0.0020
