               In Phase                          Out of phase
       Psi     dPsi/dt   Eps    dEps/dt   Psi   dPsi/dt    Eps  Deps/dt
       (mas)   (mas/c)    (mas)   (mas/c)  (mas)  (mas/c)  (mas)  (mas/c)
 -17206.4161 -17.4666  9205.2331  0.9086  3.3386  0.0029  1.5377  0.0002
  -1317.0906  -0.1675   573.0336 -0.3015 -1.3696  0.0012 -0.4587 -0.0003
   -227.6413  -0.0234    97.8459 -0.0485  0.2796  0.0002  0.1374 -0.0001
    207.4554   0.0207   -89.7492  0.0470 -0.0698  0.0000 -0.0291  0.0000
    147.5877  -0.3633     7.3871 -0.0184  1.1817 -0.0015 -0.1924  0.0005
    -51.6821   0.1226    22.4386 -0.0677 -0.0524  0.0002 -0.0174  0.0000
     71.1159   0.0073    -0.6750  0.0000 -0.0872  0.0000  0.0358  0.0000
    -38.7298  -0.0367    20.0728  0.0018  0.0380  0.0001  0.0318  0.0000
    -30.1461  -0.0036    12.9025 -0.0063  0.0816  0.0000  0.0367  0.0000
     21.5829  -0.0494    -9.5929  0.0299  0.0111  0.0000  0.0132 -0.0001
     12.8227   0.0137    -6.8982 -0.0009  0.0181  0.0000  0.0039  0.0000
     12.3457   0.0011    -5.3311  0.0032  0.0019  0.0000 -0.0004  0.0000
     15.6994   0.0010    -0.1235  0.0000 -0.0168  0.0000  0.0082  0.0000
      6.3110   0.0063    -3.3228  0.0000  0.0027  0.0000 -0.0009  0.0000
     -5.7976  -0.0063     3.1429  0.0000 -0.0189  0.0000 -0.0075  0.0000
     -5.9641  -0.0011     2.5543 -0.0011  0.0149  0.0000  0.0066  0.0000
     -5.1613  -0.0042     2.6366  0.0000  0.0129  0.0000  0.0078  0.0000
      4.5893   0.0050    -2.4236 -0.0010  0.0031  0.0000  0.0020  0.0000
      6.3384   0.0011    -0.1220  0.0000 -0.0150  0.0000  0.0029  0.0000
     -3.8571  -0.0001     1.6452 -0.0011  0.0158  0.0000  0.0068  0.0000
      3.2481   0.0000    -1.3870  0.0000  0.0000  0.0000  0.0000  0.0000
     -4.7722   0.0000     0.0477  0.0000 -0.0018  0.0000 -0.0025  0.0000
     -3.1046  -0.0001     1.3238 -0.0011  0.0131  0.0000  0.0059  0.0000
      2.8593   0.0000    -1.2338  0.0010 -0.0001  0.0000 -0.0003  0.0000
      2.0441   0.0021    -1.0758  0.0000  0.0010  0.0000 -0.0003  0.0000
      2.9243   0.0000    -0.0609  0.0000 -0.0074  0.0000  0.0013  0.0000
      2.5887   0.0000    -0.0550  0.0000 -0.0066  0.0000  0.0011  0.0000
     -1.4053  -0.0025     0.8551 -0.0002  0.0079  0.0000 -0.0045  0.0000
      1.5164   0.0010    -0.8001  0.0000  0.0011  0.0000 -0.0001  0.0000
     -1.5794   0.0072     0.6850 -0.0042 -0.0016  0.0000 -0.0005  0.0000
      2.1783   0.0000    -0.0167  0.0000  0.0013  0.0000  0.0013  0.0000
     -1.2873  -0.0010     0.6953  0.0000 -0.0037  0.0000 -0.0014  0.0000
     -1.2654   0.0011     0.6415  0.0000  0.0063  0.0000  0.0026  0.0000
     -1.0204   0.0000     0.5222  0.0000  0.0025  0.0000  0.0015  0.0000
      1.6707  -0.0085     0.0168 -0.0001 -0.0010  0.0000  0.0010  0.0000
     -0.7691   0.0000     0.3268  0.0000  0.0044  0.0000  0.0019  0.0000
     -1.1024   0.0000     0.0104  0.0000 -0.0014  0.0000  0.0002  0.0000
      0.7566  -0.0021    -0.3250  0.0000 -0.0011  0.0000 -0.0005  0.0000
     -0.6637  -0.0011     0.3353  0.0000  0.0025  0.0000  0.0014  0.0000
     -0.7141   0.0021     0.3070  0.0000  0.0008  0.0000  0.0004  0.0000
     -0.6302  -0.0011     0.3272  0.0000  0.0002  0.0000  0.0004  0.0000
      0.5800   0.0010    -0.3045  0.0000  0.0002  0.0000 -0.0001  0.0000
      0.6443   0.0000    -0.2768  0.0000 -0.0007  0.0000 -0.0004  0.0000
     -0.5774  -0.0011     0.3041  0.0000 -0.0015  0.0000 -0.0005  0.0000
     -0.5350   0.0000     0.2695  0.0000  0.0021  0.0000  0.0012  0.0000
     -0.4752  -0.0011     0.2719  0.0000 -0.0003  0.0000 -0.0003  0.0000
     -0.4940  -0.0011     0.2720  0.0000 -0.0021  0.0000 -0.0009  0.0000
      0.7350   0.0000    -0.0051  0.0000 -0.0008  0.0000  0.0004  0.0000
      0.4065   0.0000    -0.2206  0.0000  0.0006  0.0000  0.0001  0.0000
      0.6579   0.0000    -0.0199  0.0000 -0.0024  0.0000  0.0002  0.0000
      0.3579   0.0000    -0.1900  0.0000  0.0005  0.0000  0.0001  0.0000
      0.4725   0.0000    -0.0041  0.0000 -0.0006  0.0000  0.0003  0.0000
     -0.3075   0.0000     0.1313  0.0000 -0.0002  0.0000 -0.0001  0.0000
     -0.2904   0.0000     0.1233  0.0000  0.0015  0.0000  0.0007  0.0000
      0.4348   0.0000    -0.0081  0.0000 -0.0010  0.0000  0.0002  0.0000
     -0.2878   0.0000     0.1232  0.0000  0.0008  0.0000  0.0004  0.0000
     -0.4230   0.0000    -0.0020  0.0000  0.0005  0.0000 -0.0002  0.0000
     -0.2819   0.0000     0.1207  0.0000  0.0007  0.0000  0.0003  0.0000
     -0.4056   0.0000     0.0040  0.0000  0.0005  0.0000 -0.0002  0.0000
     -0.2647   0.0000     0.1129  0.0000  0.0011  0.0000  0.0005  0.0000
     -0.2294   0.0000     0.1266  0.0000 -0.0010  0.0000 -0.0004  0.0000
      0.2481   0.0000    -0.1062  0.0000 -0.0007  0.0000 -0.0003  0.0000
      0.2179   0.0000    -0.1129  0.0000 -0.0002  0.0000 -0.0002  0.0000
      0.3276   0.0000    -0.0009  0.0000  0.0001  0.0000  0.0000  0.0000
     -0.3389   0.0000     0.0035  0.0000  0.0005  0.0000 -0.0002  0.0000
      0.3339   0.0000    -0.0107  0.0000 -0.0013  0.0000  0.0001  0.0000
     -0.1987   0.0000     0.1073  0.0000 -0.0006  0.0000 -0.0002  0.0000
     -0.1981   0.0000     0.0854  0.0000  0.0000  0.0000  0.0000  0.0000
      0.4026   0.0000    -0.0553  0.0000 -0.0353  0.0000 -0.0139  0.0000
      0.1660   0.0000    -0.0710  0.0000 -0.0005  0.0000 -0.0002  0.0000
     -0.1521   0.0000     0.0647  0.0000  0.0009  0.0000  0.0004  0.0000
      0.1314   0.0000    -0.0700  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.1283   0.0000     0.0672  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.1331   0.0000     0.0663  0.0000  0.0008  0.0000  0.0004  0.0000
      0.1383   0.0000    -0.0594  0.0000 -0.0002  0.0000 -0.0002  0.0000
      0.1405   0.0000    -0.0610  0.0000  0.0004  0.0000  0.0002  0.0000
      0.1290   0.0000    -0.0556  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.1214   0.0000     0.0518  0.0000  0.0005  0.0000  0.0002  0.0000
      0.1146   0.0000    -0.0490  0.0000 -0.0003  0.0000 -0.0001  0.0000
      0.1019   0.0000    -0.0527  0.0000 -0.0001  0.0000 -0.0001  0.0000
     -0.1100   0.0000     0.0465  0.0000  0.0009  0.0000  0.0004  0.0000
     -0.0970   0.0000     0.0496  0.0000  0.0002  0.0000  0.0001  0.0000
      0.1575   0.0000    -0.0050  0.0000 -0.0006  0.0000  0.0000  0.0000
      0.0934   0.0000    -0.0399  0.0000 -0.0003  0.0000 -0.0001  0.0000
      0.0922   0.0000    -0.0395  0.0000 -0.0001  0.0000 -0.0001  0.0000
      0.0815   0.0000    -0.0422  0.0000 -0.0001  0.0000 -0.0001  0.0000
      0.0834   0.0000    -0.0440  0.0000  0.0002  0.0000  0.0001  0.0000
      0.1248   0.0000    -0.0170  0.0000  0.0000  0.0000  0.0001  0.0000
      0.1338   0.0000    -0.0039  0.0000 -0.0005  0.0000  0.0000  0.0000
      0.0716   0.0000    -0.0389  0.0000 -0.0002  0.0000 -0.0001  0.0000
      0.1282   0.0000    -0.0023  0.0000 -0.0003  0.0000  0.0001  0.0000
      0.0742   0.0000    -0.0391  0.0000  0.0001  0.0000  0.0000  0.0000
      0.1020   0.0000    -0.0495  0.0000 -0.0025  0.0000 -0.0010  0.0000
      0.0715   0.0000    -0.0326  0.0000 -0.0004  0.0000  0.0002  0.0000
     -0.0666   0.0000     0.0369  0.0000 -0.0003  0.0000 -0.0001  0.0000
     -0.0667   0.0000     0.0346  0.0000  0.0001  0.0000  0.0001  0.0000
     -0.0704   0.0000     0.0304  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0694   0.0000     0.0294  0.0000  0.0005  0.0000  0.0002  0.0000
     -0.1014   0.0000     0.0004  0.0000 -0.0001  0.0000 -0.0001  0.0000
     -0.0585   0.0000     0.0316  0.0000 -0.0002  0.0000 -0.0001  0.0000
     -0.0949   0.0000     0.0008  0.0000  0.0001  0.0000 -0.0001  0.0000
     -0.0595   0.0000     0.0258  0.0000  0.0000  0.0000  0.0000  0.0000
      0.0528   0.0000    -0.0279  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0590   0.0000     0.0252  0.0000  0.0004  0.0000  0.0002  0.0000
      0.0570   0.0000    -0.0244  0.0000 -0.0002  0.0000 -0.0001  0.0000
     -0.0502   0.0000     0.0250  0.0000  0.0003  0.0000  0.0002  0.0000
     -0.0875   0.0000     0.0029  0.0000  0.0001  0.0000  0.0000  0.0000
     -0.0492   0.0000     0.0275  0.0000 -0.0003  0.0000 -0.0001  0.0000
      0.0535   0.0000    -0.0228  0.0000 -0.0002  0.0000 -0.0001  0.0000
     -0.0467   0.0000     0.0240  0.0000  0.0001  0.0000  0.0001  0.0000
      0.0591   0.0000    -0.0253  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0453   0.0000     0.0244  0.0000 -0.0001  0.0000 -0.0001  0.0000
      0.0766   0.0000     0.0009  0.0000  0.0001  0.0000  0.0000  0.0000
     -0.0446   0.0000     0.0225  0.0000  0.0002  0.0000  0.0001  0.0000
     -0.0488   0.0000     0.0207  0.0000  0.0002  0.0000  0.0001  0.0000
     -0.0468   0.0000     0.0201  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0421   0.0000     0.0216  0.0000  0.0001  0.0000  0.0001  0.0000
      0.0463   0.0000    -0.0200  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0673   0.0000     0.0014  0.0000  0.0002  0.0000  0.0000  0.0000
      0.0658   0.0000    -0.0002  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0438   0.0000     0.0188  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0390   0.0000     0.0205  0.0000  0.0000  0.0000  0.0000  0.0000
      0.0639  -0.0011    -0.0019  0.0000 -0.0002  0.0000  0.0000  0.0000
      0.0412   0.0000    -0.0176  0.0000 -0.0002  0.0000 -0.0001  0.0000
     -0.0361   0.0000     0.0189  0.0000  0.0000  0.0000  0.0000  0.0000
      0.0360   0.0000    -0.0185  0.0000 -0.0001  0.0000 -0.0001  0.0000
      0.0588   0.0000    -0.0024  0.0000 -0.0003  0.0000  0.0000  0.0000
     -0.0578   0.0000     0.0005  0.0000  0.0001  0.0000  0.0000  0.0000
     -0.0396   0.0000     0.0171  0.0000  0.0000  0.0000  0.0000  0.0000
      0.0565   0.0000    -0.0006  0.0000 -0.0001  0.0000  0.0000  0.0000
     -0.0335   0.0000     0.0184  0.0000 -0.0001  0.0000 -0.0001  0.0000
      0.0357   0.0000    -0.0154  0.0000  0.0001  0.0000  0.0000  0.0000
      0.0321   0.0000    -0.0174  0.0000  0.0001  0.0000  0.0000  0.0000
     -0.0301   0.0000     0.0162  0.0000 -0.0001  0.0000  0.0000  0.0000
     -0.0334   0.0000     0.0144  0.0000  0.0000  0.0000  0.0000  0.0000
      0.0493   0.0000    -0.0015  0.0000 -0.0002  0.0000  0.0000  0.0000
      0.0494   0.0000    -0.0019  0.0000 -0.0002  0.0000  0.0000  0.0000
      0.0337   0.0000    -0.0143  0.0000 -0.0001  0.0000 -0.0001  0.0000
      0.0280   0.0000    -0.0144  0.0000 -0.0001  0.0000  0.0000  0.0000
      0.0309   0.0000    -0.0134  0.0000  0.0001  0.0000  0.0000  0.0000
     -0.0263   0.0000     0.0131  0.0000  0.0002  0.0000  0.0001  0.0000
      0.0253   0.0000    -0.0138  0.0000  0.0001  0.0000  0.0000  0.0000
      0.0245   0.0000    -0.0128  0.0000  0.0000  0.0000  0.0000  0.0000
      0.0416   0.0000    -0.0017  0.0000 -0.0002  0.0000  0.0000  0.0000
     -0.0229   0.0000     0.0128  0.0000  0.0000  0.0000  0.0000  0.0000
      0.0231   0.0000    -0.0120  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0259   0.0000     0.0109  0.0000  0.0002  0.0000  0.0001  0.0000
      0.0375   0.0000    -0.0008  0.0000 -0.0001  0.0000  0.0000  0.0000
      0.0252   0.0000    -0.0108  0.0000  0.0000  0.0000  0.0000  0.0000
     -0.0245   0.0000     0.0104  0.0000  0.0001  0.0000  0.0000  0.0000
      0.0243   0.0000    -0.0104  0.0000 -0.0001  0.0000  0.0000  0.0000
      0.0208   0.0000    -0.0112  0.0000  0.0001  0.0000  0.0000  0.0000
      0.0199   0.0000    -0.0102  0.0000  0.0000  0.0000  0.0000  0.0000
