00 Planetary nutation terms

  L  L'   F   D  Om  Lm  Lv  Le  LM  Lj  Ls  Lu  Ln  Pa     Period  
                                                             (days) 
                                                                    
  0   0   2   2   2   0   0   2   0  -2   0   0   0   0        6.85 
  1   0   2   0   2   0   1  -1   0   0   0   0   0   0        8.99 
 -1   0   2   2   2   0   3  -3   0   0   0   0   0   0        9.11 
 -1   0   2   2   2   0   0   2   0  -2   0   0   0   0        9.12 
  2   0   2   0   1   0   0   1   0   0   0   0   0   0        6.73 
  0   0   2   0   2   0   0   1   0   0   0   0   0   0       13.17 
  1   0   1   1   1   0   0   1   0   0   0   0   0   0        9.13 
  1   0   2   0   2   0   0   4  -8   3   0   0   0   0        9.13 
  1   0   2   0   2   0   0  -4   8  -3   0   0   0   0        9.13 
  2   0   2   0   2   0   0   2   0  -3   0   0   0   0        6.64 
 -1   0   2   2   2   0   0   2   0  -3   0   0   0   0        9.14 
  1   0   2   0   2   0  -1   1   0   0   0   0   0   0        9.28 
 -1   0   2   2   2   0   0  -1   0   1   0   0   0   0        9.79 
  0   0   2   0   2   0   2  -2   0   0   0   0   0   0       13.05 
  0   0   2   0   2   0   0   1   0  -1   0   0   0   0       13.21 
  0   0   2   0   2   0   1  -1   0   0   0   0   0   0       13.35 
  0   0   2   0   2   0   2  -3   0   0   0   0   0   0       13.53 
 -2   0   2   2   2   0   0   2   0  -2   0   0   0   0       13.63 
 -1   0   2   0   1   0   0   1   0   0   0   0   0   0       25.13 
  0   0   1   1   0   0   0   1   0   0   0   0   0   0       13.63 
  1   0   2   0   1   0   0  -2   0   3   0   0   0   0        9.54 
  2   0   2  -2   2   0   0  -2   0   3   0   0   0   0       13.65 
 -1   0   2   0   2   0   0  -4   8  -3   0   0   0   0       27.09 
  0   0   2   0   2   0   0  -4   8  -3   0   0   0   0       13.66 
  0   0   2   0   2   0   0   4  -8   3   0   0   0   0       13.66 
  1   0   2   0   2   0   0   1   0   0   0   0   0   0        8.91 
  0   0   1   1   1   0   0   1   0   0   0   0   0   0       13.66 
 -1   0   2   0   2   0  10  -3   0   0   0   0   0   0       13.66 
  1   0   2   0   2   0   0   1   0   0   0   0   0   0        8.91 
  0   0   1   1   2   0   0   1   0   0   0   0   0   0       13.69 
  0   0   0   2   0   0   0   2   0  -2   0   0   0   0       13.75 
  0   0   2   0   2   0  -2   3   0   0   0   0   0   0       13.79 
  0   0   2   0   2   0  -1   1   0   0   0   0   0   0       13.99 
  0   0   2   0   2   0   0  -1   0   1   0   0   0   0       14.15 
  0   0   2   0   2   0  -2   2   0   0   0   0   0   0       14.33 
  0   0   0  -2   0   0   0   1   0  -1   0   0   0   0      -15.33 
  0   0   0  -2   0   0   2  -2   0   0   0   0   0   0      -15.55 
  1   0   0   0   0   0   0   1   0  -1   0   0   0   0       25.77 
  1   0   0   0   0   0   1  -1   0   0   0   0   0   0       26.31 
  1   0   2  -2   2   0   0  -2   0   2   0   0   0   0       27.21 
  1   0   2  -2   2   0  -3   3   0   0   0   0   0   0       27.30 
  1   0   0  -2   1   0   0  -2   0   2   0   0   0   0      -27.33 
 -1   0   0   2   0   0   3  -3   0   0   0   0   0   0       27.34 
 -1   0   0   2   0   0   0   2   0  -2   0   0   0   0       27.44 
  0   0   0   0   0   0   0   2   0  -2   0   0   0   0      199.44 
 -1   0   0   2   1   0   0   2   0  -2   0   0   0   0       27.55 
 -1   0   0   0   0   0   0   4  -8   3   0   0   0   0      -27.55 
  1   0   1  -1   1   0   0  -1   0   0   0   0   0   0       27.55 
 -1   0   1  -1   1   0   0  -1   0   0   0   0   0   0      -27.55 
  1   0   0   0   0   0   0   4  -8   3   0   0   0   0       27.56 
 -2   0   0   0   0   0   0   2   0  -3   0   0   0   0      -14.75 
 -1   0   0   2   0   0   0   2   0  -3   0   0   0   0       27.61 
  1   0  -1   1   0   0   0   1   0   0   0   0   0   0       27.67 
 -1   0   0   2   0   0   2  -2   0   0   0   0   0   0       28.69 
 -1   0   0   0   0   0   1  -1   0   0   0   0   0   0      -28.92 
 -1   0   0   0   0   0   0   1   0  -1   0   0   0   0      -29.60 
 -1   0   0   0   0   0   0   2   0  -3   0   0   0   0      -31.74 
 -2   0   0   2   0   0   0   4  -8   3   0   0   0   0     -205.83 
  1   0   0  -2   0   0   0   4  -8   3   0   0   0   0      -31.81 
 -1   0   0   2   0   0   0   4  -8   3   0   0   0   0       31.81 
 -1   0   0   0   0   0   0   2   0  -2   0   0   0   0      -31.97 
 -1   0   0   0   0   0   3  -3   0   0   0   0   0   0      -32.10 
  1   0   0  -2   0   0   1  -1   0   0   0   0   0   0      -33.64 
  1   0   0  -2   0   0   0   1   0  -1   0   0   0   0      -34.57 
  1   0   0  -2   0   0   2  -2   0   0   0   0   0   0      -35.70 
  1   0   0  -2   0   0   0   2   0  -2   0   0   0   0      -37.85 
  0   0   0   0   0   0   0   0   0   0   0   0   0   2  4709189.08 
  0   0   0   0   0   0   0   6   0   0   0   0   0   2       60.88 
  0   0   0   0   0   0   0   6   0   0   0   0   0   1       60.88 
  0   0   0   0   0   0   0   6   0   0   0   0   0   0       60.88 
  0   0   0   0   0   0   0   6   0   0   0   0   0   2       60.88 
  0   0   0   0   0   0   0   6   0   0   0   0   0   1       60.88 
  0   0   0   0   0   0   0   6   0   0   0   0   0   0       60.88 
  0   0   0   0   0   0   0   6   0   0   0   0   0   0       60.88 
  0   0   0   0   0   0   0   6   0   0   0   0   0   2       60.88 
  0   0   0   0   0   0   6  -4   0   0   0   0   0   1       63.49 
  0   0   0   0   0   0   9  -9   0   0   0   0   0   0       64.88 
  0   0   0   0   0   0  -9   9   0   0   0   0   0   1      -64.88 
  0   0   0   0   0   0  -9   9   0   0   0   0   0   1      -64.88 
  0   0   0   0   0   0  -9   9   0   0   0   0   0   1      -64.88 
  0   0   0   0   0   0   5  -3   0   0   0   0   0   2       71.23 
  0   0   0   0   0   0   5  -3   0   0   0   0   0   1       71.23 
  0   0   0   0   0   0   8  -8   0   0   0   0   0   0       72.99 
  0   0   0   0   0   0  -8   8   0   0   0   0   0   1      -72.99 
  0   0   0   0   0   0   3   0   0   0   0   0   0   2       74.90 
  0   0   0   0   0   0   0   5   0  -2   0   0   0   2       75.60 
  0   0   0   0   0   0   0   5   0  -3   0   0   0   2       76.94 
  0   0   0   0   0   0   0   5   0  -4   0   0   0   2       78.33 
  0   0   0   0   0   0   4  -2   0   0   0   0   0   0       81.13 
  0   0   0   0   0   0   4  -2   0   0   0   0   0   0       81.13 
  0   0   0   0   0   0   4  -2   0   0   0   0   0   2       81.13 
  0   0   0   0   0   0   4  -2   0   0   0   0   0   1       81.13 
  0   0   0   0   0   0   7  -7   0   0   0   0   0   0       83.42 
  0   0   0   0   0   0  -7   7   0   0   0   0   0   1      -83.42 
  0   0   0   0   0   0   2   1   0   0   0   0   0   1       85.92 
  0   0   0   0   0   0   2   1   0   0   0   0   0   1       85.92 
  0   0   0   0   0   0   2   1   0   0   0   0   0   2       85.92 
  0   0   0   0   0   0   5  -4   0   0   0   0   0   2       88.49 
  0   0   0   0   0   0   8  -9   0   0   0   0   0   0       91.22 
  0   0   0   0   0   0   0   4   0   0   0   0   0   0       91.31 
  0   0   0   0   0   0   0   5  -2   0   0   0   0   2       92.78 
  0   0   0   0   0   0   0   4   0   0  -2   0   0   2       92.89 
  0   0   0   0   0   0   0   4   0  -1   0   0   0   2       93.28 
  0   0   0   0   0   0   3  -1   0   0   0   0   0   2       94.22 
  0   0   0   0   0   0   3  -1   0   0   0   0   0   1       94.22 
  0   0   0   0   0   0   3  -1   0   0   0   0   0   0       94.22 
  0   0   0   0   0   0   0   6  -4   0   0   0   0   2       94.30 
  0   0   0   0   0   0   0   4   0  -2   0   0   0   2       95.33 
  0   0   0   0   0   0   6  -6   0   0   0   0   0   1       97.32 
  0   0   0   0   0   0   6  -6   0   0   0   0   0   0       97.32 
  0   0   0   0   0   0  -6   6   0   0   0   0   0   1      -97.32 
  0   0   0   0   0   0   0   4   0  -3   0   0   0   2       97.48 
  0   0   0   0   0   0   0   4   0  -4   0   0   0   2       99.72 
  0   0   0   0   0   0  -9  11   0   0   0   0   0   1     -100.63 
  0   0   0   0   0   0  -9  11   0   0   0   0   0   2     -100.63 
  0   0   0   0   0   0   1   2   0   0   0   0   0   2      100.74 
  0   0   0   0   0   0   4  -3   0   0   0   0   0   2      104.29 
  0   0   0   0   0   0   0   5  -3   0   0   0   0   2      107.27 
  0   0   0   0   0   0   7  -8   0   0   0   0   0   0      108.11 
  0   0   0   0   0   0   0   6  -5   0   0   0   0   2      109.30 
  0   0   0   0   0   0   0   7  -7   0   0   0   0   2      111.42 
  0   0   0   0   0   0   0   7  -7   0   0   0   0   2      111.42 
  0   0   0   0   0   0   2   0   0   0   0   0   0   2      112.35 
  0   0   0   0   0   0   2   0   0   0   0   0   0   1      112.35 
  0   0   0   0   0   0   2   0   0   0   0   0   0   0      112.35 
  0   0   0   0   0   0   5  -5   0   0   0   0   0   2      116.78 
  0   0   0   0   0   0   5  -5   0   0   0   0   0   1      116.78 
  0   0   0   0   0   0   5  -5   0   0   0   0   0   0      116.78 
  0   0   0   0   0   0  -5   5   0   0   0   0   0   1     -116.79 
  0   0   0   0   0   0  -3   8   0   0   0   0   0   2      116.94 
  0   0   0   0   0   0   0   3   0   1   0   0   0   2      118.42 
  0   0   0   0   0   0   0   2   2   0   0   0   0   2      119.23 
  0   0   0   0   0   0  -8  10   0   0   0   0   0   2     -121.59 
  0   0   0   0   0   0  -8  10   0   0   0   0   0   1     -121.58 
  0   0   0   0   0   0  -8  10   0   0   0   0   0   2     -121.59 
  0   0   0   0   0   0   0  -1   8  -3   0   0   0   2      121.73 
  0   0   0   0   0   0   0   3   0   0   0   0   0   2      121.75 
  0   0   0   0   0   0   0  -5  16  -4  -5   0   0   2      121.75 
  0   0   0   0   0   0   0   7  -8   3   0   0   0   2      121.77 
  0   0   0   0   0   0   0   3   0   2  -5   0   0   2      121.79 
  0   0   0   0   0   0  -8  16   0   0   0   0   0   2      121.92 
  0   0   2  -2   1   0   0   1   0  -1   0   0   0   0      123.00 
  0   0   0   0   0   0   0   3   0   0  -1   0   0   2      123.14 
  0   0   0   0   0   0   0   4  -2   0   0   0   0   2      124.38 
  0   0   0   0   0   0   0   3   0   0  -2   0   0   2      124.57 
  0   0   0   0   0   0   0   3   0  -1   0   0   0   2      125.27 
  0   0   0   0   0   0   0   3   0  -1   0   0   0   2      125.27 
  0   0   0   0   0   0   3  -2   0   0   0   0   0   2      126.97 
  0   0   0   0   0   0   3  -2   0   0   0   0   0   0      126.98 
  0   0   0   0   0   0   0   5  -4   0   0   0   0   2      127.12 
  0   0   0   0   0   0   0   3   0  -2   0   0   0   2      129.00 
  0   0   0   0   0   0   0   3   0  -2   0   0   0   0      129.00 
  0   0   0   0   0   0   0   6  -6   0   0   0   0   2      129.99 
  0   0   0   0   0   0   6  -7   0   0   0   0   0   0      132.67 
  0   0   0   0   0   0  -6   7   0   0   0   0   0   1     -132.67 
  0   0   0   0   0   0  -2   6   0   0   0   0   0   2      132.87 
  0   0   0   0   0   0   0   3   0  -3   0   0   0   2      132.96 
  0   0   0   0   0   0   0   3   0  -3   0   0   0   0      132.96 
  0   0   0   0   0   0   0   7  -8   0   0   0   0   2      132.98 
  0   0   2  -2   1   0   1  -1   0   0   0   0   0   0      136.32 
  0   0   0   0   0   0   0   3   0  -4   0   0   0   0      137.17 
  0   0   0   0   0   0  -9  12   0   0   0   0   0   2     -138.90 
  0   0   0   0   0   0   1   1   0   0   0   0   0   2      139.11 
  0   0   0   0   0   0   1   1   0   0   0   0   0   1      139.12 
  0   0   0   0   0   0   1   1   0   0   0   0   0   0      139.12 
  0   0   0   0   0   0   0  -3   0   5   0   0   0   2     -141.66 
  0   0   0   0   0   0   0   2   1   0   0   0   0   2      144.27 
  0   0   0   0   0   0   4  -4   0   0   0   0   0   2      145.98 
  0   0   0   0   0   0   4  -4   0   0   0   0   0   1      145.98 
  0   0   0   0   0   0   4  -4   0   0   0   0   0   0      145.98 
  0   0   0   0   0   0  -4   4   0   0   0   0   0   1     -145.98 
  0   0   0   0   0   0   0   3  -1   0   0   0   0   2      147.97 
  0   0   0   0   0   0   0   4  -3   0   0   0   0   2      151.87 
  0   0   0   0   0   0  -7   9   0   0   0   0   0   1     -153.56 
  0   0   0   0   0   0  -7   9   0   0   0   0   0   2     -153.56 
  0   0   0   0   0   0  -1   4   0   0   0   0   0   2      153.82 
  0   0   0   0   0   0  -1   4   0   0   0   0   0   1      153.82 
  0   0   0   0   0   0   0   5  -5   0   0   0   0   2      155.98 
  0   0   0   0   0   0   0   6  -7   0   0   0   0   2      160.32 
  0   0   0   0   0   0   2  -1   0   0   0   0   0   2      162.26 
  0   0   0   0   0   0   2  -1   0   0   0   0   0   0      162.26 
  0   0   0   0   0   0   0   7  -9   0   0   0   0   2      164.91 
  0   0   0   0   0   0   0  -1   6   0   0   0   0   2      166.77 
  0   0   0   0   0   0   0   2   0   2   0   0   0   2      168.42 
  0   0   0   0   0   0   5  -6   0   0   0   0   0   2      171.67 
  0   0   0   0   0   0   5  -6   0   0   0   0   0   0      171.67 
  0   0   0   0   0   0  -5   6   0   0   0   0   0   1     -171.68 
  0   0   0   0   0   0  -5   6   0   0   0   0   0   2     -171.68 
  0   0   0   0   0   0   0   0   4   0   0   0   0   2      171.74 
  0   0   0   0   0   0  -3   7   0   0   0   0   0   2      172.01 
  0   0   0   0   0   0   0   2   0   1   0   0   0   2      175.23 
  0   0   0   0   0   0   0   1   2   0   0   0   0   2      177.01 
  0   0   2  -2   1   0   0  -4   8  -3   0   0   0   0      177.80 
  0   0   1  -1   0   0   0   1   0   0   0   0   0   0      177.85 
  0   0   2  -2   1   0   0   4  -8   3   0   0   0   0      177.89 
  0   0   0   0   0   0   3  -3   0   2   0   0   0   2      178.59 
  0   0   0   0   0   0   0   2   0   0   1   0   0   2      179.57 
  0   0   0   0   0   0   0  11   0   0   0   0   0   2       33.20 
  0   0   0   0   0   0  -8  11   0   0   0   0   0   2     -182.25 
  0   0   0   0   0   0  -8  11   0   0   0   0   0   1     -182.25 
  0   0   0   0   0   0  -8  11   0   0   0   0   0   2     -182.25 
  0   0   0   0   0   0   3  -5   4   0   0   0   0   2      182.32 
  0   0   0   0   0   0   0   2   0  -2   5   0   0   2      182.52 
  0   0   0   0   0   0   0   6  -8   1   5   0   0   2      182.57 
  0   0   0   0   0   0   0  -2   8  -3   0   0   0   2      182.57 
  0   0   0   0   0   0   0  -2   8  -3   0   0   0   2      182.57 
  0   0   0   0   0   0   0  -6  16  -4  -5   0   0   2      182.62 
  0   0   0   0   0   0   0   2   0   0   0   0   0   2      182.62 
  0   0   0   0   0   0   0   2   0   0   0   0   0   1      182.62 
  0   0   1  -1   1   0   0   1   0   0   0   0   0   0      182.62 
  0   0   0   0   0   0   0   2   0   0   0   0   0   1      182.62 
  0   0   0   0   0   0   0   2   0   0   0   0   0   0      182.63 
  0   0   0   0   0   0   0   2   0   0   0   0   0   0      182.63 
  0   0   0   0   0   0   0   6  -8   3   0   0   0   2      182.67 
  0   0   0   0   0   0   0  -2   8  -1  -5   0   0   2      182.67 
  0   0   0   0   0   0   0   2   0   2  -5   0   0   2      182.72 
  0   0   0   0   0   0  -3   9  -4   0   0   0   0   2      182.92 
  0   0   0   0   0   0  -8  15   0   0   0   0   0   2      183.00 
  0   0   0   0   0   0   0  -6  15   0   0   0   0   2      184.91 
  0   0   0   0   0   0   0   2   0   0  -1   0   0   2      185.77 
  0   0   0   0   0   0   0   3  -2   0   0   0   0   2      188.60 
  0   0   0   0   0   0   0   3  -2   0   0   0   0   0      188.60 
  0   0   0   0   0   0   0   2   0   0  -2   0   0   1      189.04 
  0   0   0   0   0   0   0   2   0   0  -2   0   0   0      189.05 
  0   0   0   0   0   0   0   2   0  -1   0   0   0   2      190.66 
  0   0   0   0   0   0   0   2   0  -1   0   0   0   0      190.67 
  0   0   0   0   0   0   0  -5  13   0   0   0   0   2      191.04 
  0   0   0   0   0   0   0   2   0   0  -3   0   0   0      192.43 
  0   0   0   0   0   0   3  -3   0   0   0   0   0   2      194.63 
  0   0   0   0   0   0   3  -3   0   0   0   0   0   1      194.64 
  0   0   0   0   0   0   3  -3   0   0   0   0   0   0      194.64 
  0   0   0   0   0   0  -3   3   0   0   0   0   0   1     -194.64 
  0   0   0   0   0   0   0   4  -4   0   0   0   0   2      194.98 
  0   0   0   0   0   0   0   4  -4   0   0   0   0   0      194.98 
  0   0   0   0   0   0  -5  10   0   0   0   0   0   2      195.07 
  0   0   0   0   0   0   0   2   0  -2   0   0   0   2      199.43 
  0   0   0   0   0   0   0   2   0  -2   0   0   0   1      199.44 
  0   0   0   0   0   0   0   2   0  -2   0   0   0   0      199.44 
  0   0   0   0   0   0   0   5  -6   0   0   0   0   2      201.80 
  0   0   0   0   0   0   0   5  -6   0   0   0   0   0      201.81 
  0   0   0   0   0   0   0  -3   9   0   0   0   0   2      204.60 
  0   0   0   0   1   0   0   2   0  -2   0   0   0   0      205.47 
  0   0   0   0   0   0   6  -8   0   0   0   0   0   0      208.34 
  0   0   0   0   0   0  -6   8   0   0   0   0   0   1     -208.35 
  0   0   0   0   0   0  -6   8   0   0   0   0   0   2     -208.35 
  0   0   0   0   0   0  -2   5   0   0   0   0   0   2      208.83 
  0   0   0   0   0   0  -2   5   0   0   0   0   0   1      208.84 
  0   0   0   0   0   0   0   2   0  -3   0   0   0   0      209.07 
  0   0   0   0   0   0   0  -2   7   0   0   0   0   2      212.13 
  0   0   0   0   0   0   0   2   0  -4   0   0   0   0      219.67 
  0   0   0   0   0   0   0  -2   0   4   0   0   0   2     -219.68 
  0   0   0   0   0   0   0  -1   5   0   0   0   0   2      220.23 
  0   0   0   0   0   0  -9  13   0   0   0   0   0   2     -224.13 
  0   0   0   0   0   0   1   0   0   0   0   0   0   2      224.69 
  0   0   0   0   0   0   1   0   0   0   0   0   0   0      224.70 
  0   0   0   0   0   0   0   0   3   0   0   0   0   2      228.98 
  0   0   0   0   0   0   0  -2   0   5   0   0   0   2     -231.41 
  0   0   0   0   0   0   0   1   1   0   0   0   0   2      238.46 
  0   0   0   0   0   0   4  -5   0   0   0   0   0   0      243.16 
  0   0   0   0   0   0  -4   5   0   0   0   0   0   1     -243.17 
  0   0   0   0   0   0  -4   5   0   0   0   0   0   2     -243.18 
  0   0   0   0   0   0  -4   8   0   0   0   0   0   2      243.83 
  0   0   0   0   0   0   0   3  -3   0   0   0   0   0      259.98 
  0   0   0   0   0   0  -7  10   0   0   0   0   0   1     -264.94 
  0   0   0   0   0   0  -7  10   0   0   0   0   0   2     -264.95 
  0   0   0   0   0   0  -1   3   0   0   0   0   0   2      265.73 
  0   0   1  -1   1   0  -1   2   0   0   0   0   0   0      265.73 
  0   0   0   0   0   0  -1   3   0   0   0   0   0   1      265.73 
  0   0   0   0   0   0   1  -3   0   0   0   0   0   0     -265.74 
  0   0   0   0   0   0   0   4  -5   0   0   0   0   0      272.26 
  0   0   0   0   1   0  -2   2   0   0   0   0   0   0     -279.94 
  0   0   0   0   0   0   0   5  -7   0   0   0   0   0      285.76 
  0   0   0   0   0   0   0  -5   7   0   0   0   0   2     -285.77 
  0   0   0   0   0   0   0   1   0   3   0   0   0   2      291.51 
  0   0   0   0   0   0   2  -2   0   0   0   0   0   1      291.95 
  0   0   0   0   0   0   2  -2   0   0   0   0   0   0      291.96 
  0   0   1  -1   1   0  -2   1   0   0   0   0   0   0     -291.97 
  0   0   0   0   0   0  -2   2   0   0   0   0   0   1     -291.97 
  0   0   0   0   0   0   0   6  -9   0   0   0   0   0      300.66 
  0   0   0   0   0   0   0  -6   9   0   0   0   0   2     -300.68 
  0   0   0   0   1   0   2  -2   0   0   0   0   0   0      305.06 
  0   0   0   0   0   0   0  -2   6   0   0   0   0   2      306.89 
  0   0   0   0   0   0   0   1   0   2   0   0   0   2      312.54 
  0   0   0   0   0  -1   0   3   0   0   0   0   0   2     -317.06 
  0   0   0   0   0   0   0  -1   0   1   0   0   0   0     -398.88 
  0   0   2  -2   1   0   0  -1   0   1   0   0   0   0      320.93 
  0   0   0   0   0   0   5  -7   0   0   0   0   0   0      323.92 
  0   0   1  -1   1   0  -5   6   0   0   0   0   0   0     -323.93 
  0   0   0   0   0   0  -5   7   0   0   0   0   0   1     -323.93 
  0   0   0   0   0   0  -5   7   0   0   0   0   0   2     -323.94 
  0   0   0   0   0   0   0  -1   4   0   0   0   0   2      324.15 
  0   0   0   0   0   0  -3   6   0   0   0   0   0   2      325.10 
  0   0   0   0   0   0  -3   6   0   0   0   0   0   1      325.11 
  0   0   0   0   0   0   3  -6   0   0   0   0   0   0     -325.13 
  0   0   0   0   0   0   0   1   0   1   0   0   0   2      336.83 
  0   0   0   0   0   0   0   1   0   1   0   0   0   1      336.85 
  0   0   0   0   0   0   0   1   0   1   0   0   0   0      336.86 
  0   0   2  -2   1   0  -5   5   0   0   0   0   0   0     -340.15 
  0   0   0   0   0   0   0   1   0   0   2   0   0   2      342.01 
  0   0   0   0   0   0   0   0   2   0   0   0   0   2      343.46 
  0   0   0   0   0   0   0   0   2   0   0   0   0   0      343.49 
  0   0   0   0   0   0   0   1   0   0   1   0   0   2      353.24 
  0   0   0   0   0   0   0   1   0   1  -2   0   0   0      359.36 
  0   0   0   0   0   0  -8  12   0   0   0   0   0   0     -363.73 
  0   0   0   0   0   0  -8  12   0   0   0   0   0   2     -363.76 
  0   0   0   0   0   0   0   1   0  -2   5   0   0   2      364.82 
  0   0   0   0   0   0   0  -3   8  -3   0   0   0   2      365.02 
  0   0   0   0   0   0   0   3  -8   3   0   0   0   0     -365.05 
  0   0   0   0   0   0   0   1   0   0   0   0   0   0      365.26 
  0   0   0   0   0   0   0  -1   0   0   0   0   0   1     -365.27 
  0   0   0   0   0   0   0   5  -8   3   0   0   0   2      365.43 
  0   0   0   0   0   0   0   5  -8   3   0   0   0   0      365.46 
  0   0   0   0   0   0   0   1   0   2  -5   0   0   0      365.67 
  0   0   0   0   0   0  -8  14   0   0   0   0   0   2      366.76 
  0   0   0   0   1   0   0  -2   2   0   0   0   0   0     -368.81 
  0   0   0   0   1   0   0  -1   0   1   0   0   0   0     -376.78 
  0   0   0   0   0   0   0   1   0   0  -1   0   0   0      378.09 
  0   0   0   0   0   0   0   2  -2   0   0   0   0   0      389.97 
  0   0   0   0   0   0   0   1   0   0  -2   0   0   0      391.86 
  0   0   0   0   1   0  -3   4   0   0   0   0   0   0     -392.62 
  0   0   0   0   0   0   0   1   0  -3   5   0   0   0      398.39 
  0   0   0   0   0   0   0   1   0  -1   0   0   0   1      398.87 
  0   0   0   0   0   0   0   1   0  -1   0   0   0   0      398.88 
  0   0   0   0   0   0   0  -1   0   1   0   0   0   1     -398.90 
  0   0   0   0   0   0   0   1   0   1  -5   0   0   0      399.38 
  0   0   0   0   0   0   0   1   0   0  -3   0   0   0      406.67 
  0   0   0   0   1   0   0  -1   0   2   0   0   0   0     -412.66 
  0   0   0   0   1   0   0   2  -2   0   0   0   0   0      413.70 
  0   0   0   0   0   0   3  -4   0   0   0   0   0   1      416.67 
  0   0   0   0   0   0   3  -4   0   0   0   0   0   0      416.69 
  0   0   0   0   0   0  -3   4   0   0   0   0   0   1     -416.71 
  0   0   0   0   0   0  -3   4   0   0   0   0   0   2     -416.73 
  0   0   0   0   0   0   0   3  -4   0   0   0   0   0      418.27 
  0   0   0   0   0   0  -5   9   0   0   0   0   0   2      418.65 
  0   0   0   0   1   0   0   1   0  -1   0   0   0   0      423.75 
  0   0   0   0   0   0   0   1   0  -2   0   0   0   0      439.33 
